STATUS | wrapper  | 2019/05/22 12:35:55 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/05/22 12:35:55 | Launching a JVM...
INFO   | jvm 1    | 2019/05/22 12:35:55 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/05/22 12:35:55 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/05/22 12:35:55 | 
INFO   | jvm 1    | 2019/05/22 12:35:56 | Java Runtime: Oracle Corporation 11.0.3 /usr/lib/jvm/java-11-openjdk-amd64
INFO   | jvm 1    | 2019/05/22 12:35:56 |   Heap sizes: current=256000k  free=246784k  max=1048576k
INFO   | jvm 1    | 2019/05/22 12:35:56 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/linux-x86-64/ -Dwrapper.key=CdJ5aTHz4wIaKH7o -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=26408 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2019/05/22 12:35:56 | Extensions classpath:
INFO   | jvm 1    | 2019/05/22 12:35:56 |   [../../lib,../../lib/camel,../../lib/optional,../../lib/web,../../lib/extra]
INFO   | jvm 1    | 2019/05/22 12:35:56 | ACTIVEMQ_HOME: ../..
INFO   | jvm 1    | 2019/05/22 12:35:56 | ACTIVEMQ_BASE: ../..
INFO   | jvm 1    | 2019/05/22 12:35:56 | ACTIVEMQ_CONF: ../../conf
INFO   | jvm 1    | 2019/05/22 12:35:56 | ACTIVEMQ_DATA: ../../data
INFO   | jvm 1    | 2019/05/22 12:35:56 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2019/05/22 12:35:56 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@29a30f6: startup date [Wed May 22 12:35:56 CEST 2019]; root of context hierarchy
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/asmirnov/git/java-backend/Message Service/activemq/bin/linux-x86-64/../../data/kahadb]
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | PListStore:[/home/asmirnov/git/java-backend/Message Service/activemq/bin/linux-x86-64/../../data/localhost/tmp_storage] started
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Apache ActiveMQ 5.15.9 (localhost, ID:nb-asmirnov-43601-1558521357488-0:1) is starting
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Listening for connections at: tcp://nb-asmirnov:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Connector openwire started
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Listening for connections at: amqp://nb-asmirnov:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Connector amqp started
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Listening for connections at: stomp://nb-asmirnov:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Connector stomp started
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Listening for connections at: mqtt://nb-asmirnov:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2019/05/22 12:35:57 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@7737b261{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Listening for connections at ws://nb-asmirnov:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
